Data,CAD,LC,Agua Inicial,ETC,Precipitacao,Irrigacao,Agua Final,Excesso
45200,16.2,12.96,16.2,3.294,0,7.25422,20.1602,7.20022
45201,16.2,12.96,20.1602,1.602,13.8,0,32.3582,19.3982
45202,16.2,12.96,32.3582,2.367,0,0,29.9912,17.0312
45203,16.2,12.96,29.9912,2.428,0,0,27.5632,14.6032
45204,16.2,12.96,27.5632,2.178,0,0,25.3852,12.4252
45205,16.2,12.96,25.3852,2.38,0.8,0,23.8052,10.8452
45206,16.2,12.96,23.8052,2.009,6.8,0,28.5962,15.6362
45207,16.2,12.96,28.5962,2.355,0,0,26.2412,13.2812
45208,16.2,12.96,26.2412,2.311,1.3429,0,25.2731,12.3131
45209,16.2,12.96,25.2731,2.72,0.2,0,22.7531,9.79312
45210,16.2,12.96,22.7531,4.547,0,0,18.2061,5.24612
45211,16.2,12.96,18.2061,4.014,0,7.25422,21.4463,8.48634
45212,16.2,12.96,21.4463,3.54,0,0,17.9063,4.94634
45213,16.2,12.96,17.9063,3.121,0,7.25422,22.0396,9.07956
45214,16.2,12.96,22.0396,5.379,0,0,16.6606,3.70056
45215,27,18.9,16.6606,6.16,0,0,10.5006,-8.39944
45216,27,18.9,10.5006,5.389,0,10.3632,15.4747,-3.42527
45217,27,18.9,15.4747,5.18,0,7.25422,17.549,-1.35105
45218,27,18.9,17.549,5.773,0,7.25422,19.0302,0.130175
45219,27,18.9,19.0302,6.078,0,7.25422,20.2064,1.30639
45220,27,18.9,20.2064,3.012,8.6,0,25.7944,6.89439
45221,27,18.9,25.7944,4.425,0,0,21.3694,2.46939
45222,27,18.9,21.3694,5.583,0,0,15.7864,-3.11361
45223,27,18.9,15.7864,4.717,0,7.25422,18.3236,-0.576387
45224,27,18.9,18.3236,5.298,0.171375,7.25422,20.4512,1.55121
45225,27,18.9,20.4512,2.775,2.83599,0,20.5122,1.6122
45226,27,18.9,20.5122,2.731,0,0,17.7812,-1.1188
45227,27,18.9,17.7812,3.159,0,7.25422,21.8764,2.97642
45228,27,18.9,21.8764,4.252,5.48491,0,23.1093,4.20933
45229,27,18.9,23.1093,5.829,0,0,17.2803,-1.61967
45230,27,18.9,17.2803,4.945,0,7.25422,19.5895,0.689547
45231,27,18.9,19.5895,3.516,3.96263,0,20.0362,1.13618
45232,27,18.9,20.0362,5.489,0.543691,7.25422,22.3451,3.44509
45233,27,18.9,22.3451,2.415,7,0,26.9301,8.03008
45234,27,18.9,26.9301,1.999,0,0,24.9311,6.03108
45235,27,18.9,24.9311,3.357,2,0,23.5741,4.67408
45236,27,18.9,23.5741,2.932,0,0,20.6421,1.74208
45237,27,18.9,20.6421,3.456,0,0,17.1861,-1.71391
45238,27,18.9,17.1861,4.363,0,7.25422,20.0773,1.17731
45239,27,18.9,20.0773,4.334,0,0,15.7433,-3.15669
45240,27,18.9,15.7433,4.651,0,7.25422,18.3465,-0.553474
45241,27,18.9,18.3465,5.219,0,7.25422,20.3817,1.48174
45242,27,18.9,20.3817,5.576,0,7.25422,22.06,3.15996
45243,27,18.9,22.06,6.285,0,0,15.775,-3.12504
45244,27,18.9,15.775,5.211,0,7.25422,17.8182,-1.08182
45245,27,18.9,17.8182,6.397,0,7.25422,18.6754,-0.224596
45246,27,18.9,18.6754,6.949,0,7.25422,18.9806,0.0806255
45247,27,18.9,18.9806,6.02,0,7.25422,20.2148,1.31484
45248,27,18.9,20.2148,3.969,0.641418,0,16.8873,-2.01274
45249,27,18.9,16.8873,3.909,0,7.25422,20.2325,1.33248
45250,27,18.9,20.2325,1.531,1.8,0,20.5015,1.60148
45251,27,18.9,20.5015,3.044,0.776313,0,18.2338,-0.666204
45252,27,18.9,18.2338,1.731,8.6,0,25.1028,6.2028
45253,27,18.9,25.1028,3.396,0,0,21.7068,2.8068
45254,27,18.9,21.7068,5.132,0.0452643,0,16.6201,-2.27994
45255,27,18.9,16.6201,4.208,2.80605,7.25422,22.4723,3.57233
45256,27,18.9,22.4723,4.381,0,0,18.0913,-0.808668
45257,27,18.9,18.0913,3.785,8.07842,0,22.3848,3.48475
45258,27,18.9,22.3848,4.558,0,0,17.8267,-1.07325
45259,27,18.9,17.8267,3.851,0,7.25422,21.23,2.32997
45260,32.4,19.44,21.23,4.499,0,7.25422,23.9852,4.54519
45261,32.4,19.44,23.9852,2.929,5.35907,0,26.4153,6.97526
45262,32.4,19.44,26.4153,5.337,0,0,21.0783,1.63826
45263,32.4,19.44,21.0783,5.141,6.24415,0,22.1814,2.74141
45264,32.4,19.44,22.1814,3.539,4.04958,0,22.692,3.25199
45265,32.4,19.44,22.692,3.678,2.88446,0,21.8984,2.45845
45266,32.4,19.44,21.8984,3.993,14.4,0,32.3055,12.8654
45267,32.4,19.44,32.3055,5.494,0,0,26.8115,7.37145
45268,32.4,19.44,26.8115,4.914,0,0,21.8975,2.45745
45269,32.4,19.44,21.8975,6.216,0,7.25422,22.9357,3.49567
45270,32.4,19.44,22.9357,4.845,20.2,0,38.2907,18.8507
45271,32.4,19.44,38.2907,5.245,0,0,33.0457,13.6057
45272,32.4,19.44,33.0457,2.578,1.63487,0,32.1025,12.6625
45273,32.4,19.44,32.1025,5.372,0,0,26.7305,7.29054
45274,32.4,19.44,26.7305,6.557,1.2,0,21.3735,1.93354
45275,32.4,19.44,21.3735,5.362,0,7.25422,23.2658,3.82576
45276,32.4,19.44,23.2658,6.981,0,7.25422,23.539,4.09898
45277,32.4,19.44,23.539,6.87,0,7.25422,23.9232,4.4832
45278,32.4,19.44,23.9232,6.042,0,7.25422,25.1354,5.69542
45279,32.4,19.44,25.1354,4.66,0.363421,7.25422,28.0931,8.65306
45280,32.4,19.44,28.0931,3.11,1.6,0,26.5831,7.14306
45281,32.4,19.44,26.5831,2.598,9.4,0,33.3851,13.9451
45282,32.4,19.44,33.3851,1.799,4.10512,0,35.6912,16.2512
45283,32.4,19.44,35.6912,2.203,7.58363,0,41.0718,21.6318
45284,32.4,19.44,41.0718,1.965,35.8243,0,74.9311,55.4911
45285,32.4,19.44,74.9311,1.986,5.71416,0,78.6593,59.2193
45286,32.4,19.44,78.6593,3.831,0.4,0,75.2283,55.7883
45287,32.4,19.44,75.2283,3.187,0.8,0,72.8413,53.4013
45288,32.4,19.44,72.8413,3.575,0,0,69.2663,49.8263
45289,32.4,19.44,69.2663,4.023,0,0,65.2433,45.8033
45290,32.4,19.44,65.2433,4.79,1.53652,0,61.9898,42.5498
45291,32.4,19.44,61.9898,3.283,1,0,59.7068,40.2668
45292,32.4,19.44,59.7068,1.781,7.85374,0,65.7795,46.3395
45293,32.4,19.44,65.7795,1.463,120.2,0,184.517,165.077
45294,32.4,19.44,184.517,1.192,24.9564,0,208.281,188.841
45295,32.4,19.44,208.281,2.221,4.50907,0,210.569,191.129
45296,32.4,19.44,210.569,1.69,1.8,0,210.679,191.239
45297,32.4,19.44,210.679,2.911,20.4,0,228.168,208.728
45298,32.4,19.44,228.168,3.423,0,0,224.745,205.305
45299,32.4,19.44,224.745,1.451,3,0,226.294,206.854
45300,37.8,18.9,226.294,0.951,24.6,0,249.943,231.043
45301,37.8,18.9,249.943,1.388,10.6,0,259.155,240.255
45302,37.8,18.9,259.155,2.285,4.8,0,261.67,242.77
45303,37.8,18.9,261.67,1.997,5.45367,0,265.127,246.227
45304,37.8,18.9,265.127,1.316,14.5782,0,278.389,259.489
45305,37.8,18.9,278.389,2.2,1.00652,0,277.195,258.295
45306,37.8,18.9,277.195,1.387,18.4,0,294.208,275.308
45307,37.8,18.9,294.208,1.727,4.86931,0,297.351,278.451
45308,37.8,18.9,297.351,1.954,0,0,295.397,276.497
45309,37.8,18.9,295.397,2.535,1.59888,0,294.461,275.561
45310,37.8,18.9,294.461,2.683,0.310712,0,292.088,273.188
45311,37.8,18.9,292.088,2.672,0,0,289.416,270.516
45312,37.8,18.9,289.416,3.079,0.0586125,0,286.396,267.496
45313,37.8,18.9,286.396,1.751,2.4,0,287.045,268.145
45314,37.8,18.9,287.045,1.351,2.6,0,288.294,269.394
45315,37.8,18.9,288.294,1.103,0.6,0,287.791,268.891
45316,37.8,18.9,287.791,1.271,18.6,0,305.12,286.22
45317,37.8,18.9,305.12,0.97,1.42757,0,305.577,286.677
45318,37.8,18.9,305.577,1.64,24,0,327.937,309.037
45319,37.8,18.9,327.937,1.337,4.82482,0,331.425,312.525
