Data,CAD,LC,Agua Inicial,ETC,Precipitacao,Irrigacao,Agua Final,Excesso
45200.000000,16,8,16,4.1,0,0,11.9,3.9
45201.000000,16,8,11.9,2.5,13.8,0,23.2,15.2
45202.000000,18.7,9.35,23.2,3.7,0,10,29.5,20.15
45203.000000,23.1,11.55,29.5,3.8,0,0,25.7,14.15
45204.000000,26.8,13.4,25.7,2.8,0,12,34.9,21.5
45205.000000,30.1,15.05,34.9,3.3,0.8,12,44.4,29.35
45206.000000,33.1,16.55,44.4,3.2,6.8,12,60,43.45
45207.000000,36,18,60,3.7,0,12,68.3,50.3
45208.000000,38.6,19.3,68.3,3.1,1.3,12,78.5,59.2
45209.000000,41.2,20.6,78.5,2.6,0.2,12,88.1,67.5
45210.000000,43.7,21.85,88.1,3,0,12,97.1,75.25
45211.000000,46,23,97.1,6.3,0,12,102.8,79.8
45212.000000,48.3,24.15,102.8,5.6,0,12,109.2,85.05
45213.000000,50.5,25.25,109.2,3.7,0,12,117.5,92.25
45214.000000,52.7,26.35,117.5,4.5,0,12,125,98.65
45215.000000,54.8,27.4,125,3.3,0,12,133.7,106.3
45216.000000,56.8,28.4,133.7,6.9,0,12,138.8,110.4
45217.000000,58.9,29.45,138.8,6.7,0,12,144.1,114.65
45218.000000,60.8,30.4,144.1,5.6,0,12,150.5,120.1
45219.000000,62.8,31.4,150.5,4.7,0,10,155.8,124.4
45220.000000,64.6,32.3,155.8,3.8,8.6,12,172.6,140.3
45221.000000,66.5,33.25,172.6,5.7,0,12,178.9,145.65
45222.000000,68.3,34.15,178.9,7.2,0,6,177.7,143.55
45223.000000,70.1,35.05,177.7,6,0,12,183.7,148.65
45224.000000,71.8,35.9,183.7,6.6,0.2,12,189.3,153.4
45225.000000,73.6,36.8,189.3,3.6,2.8,12,200.5,163.7
45226.000000,75.3,37.65,200.5,3.5,0,0,197,159.35
45227.000000,77,38.5,197,4,0,12,205,166.5
45228.000000,78.8,39.4,205,5.4,5.5,12,217.1,177.7
45229.000000,80.4,40.2,217.1,7.5,0,12,221.6,181.4
45230.000000,82.1,41.05,221.6,6.3,0,12,227.3,186.25
45231.000000,83.6,41.8,227.3,4.4,4,12,238.9,197.1
45232.000000,85.2,42.6,238.9,6.9,0.5,12,244.5,201.9
45233.000000,86.9,43.45,244.5,3,7,12,260.5,217.05
45234.000000,88.4,44.2,260.5,2.6,0,12,269.9,225.7
45235.000000,89.9,44.95,269.9,4.3,2,5,272.6,227.65
45236.000000,91.5,45.75,272.6,3.8,0,12,280.8,235.05
45237.000000,93,46.5,280.8,4.4,0,12,288.4,241.9
45238.000000,94.5,47.25,288.4,5.5,0,12,294.9,247.65
45239.000000,96,48,294.9,5.5,0,12,301.4,253.4
45240.000000,96,48,301.4,6,0,12,307.4,259.4
